"id","generated_procedure_name","generated_procedure_description","procedure_name"
1364,"Screw Replacement Surgery 22-1800","Screw Replacement Surgery 22-1800","set screw replacement 22-1800"
1365,"pump penile precon ms 700lgx 12cm","pump penile precon ms 700lgx 12cm","pump penile precon ms 700lgx 12cm"
1366,"hip liner mpact hooded pe hc 32/d","hip liner mpact hooded pe hc 32/d","hip liner mpact hooded pe hc 32/d"
1367,"Laser-assisted Slimming Treatment","No description.","fiber laser slimline ez 365 sis 840-921"
1368,"knife sonopet iq 12cm serrated lg","knife sonopet iq 12cm serrated lg","knife sonopet iq 12cm serrated lg"
1369,"Penile Prosthesis Implant Surgery","This is a description of a specific type of penile prosthesis implant surgery called Penile Scrotal Pump with LGX 21cm (72404253-12).","pump penile scrotal 700 lgx 21cm 72404253-12"
1370,"device azure ipg xt sr mri w1sr01","device azure ipg xt sr mri w1sr01","device azure ipg xt sr mri w1sr01"
1371,"MTP Cup Cone Latti-Struct Implant","MTP Cup Cone Latti-Struct Implant","implant segment mtp cup cone latti-struct 12x16mm"
1372,"Hand Scan Without Dye: Left Side","This is a medical imaging procedure that uses computed tomography (CT) technology to capture high-resolution images of the left hand without the use of contrast dye. It is typically used to diagnose and evaluate conditions affecting the bones, joints, and soft tissues in the hand.","ct hand w/o contrast left"
1373,"Lumbar Spine CT Scan without Dye","This is a medical imaging procedure that uses a computed tomography (CT) scanner to create detailed images of the lumbar spine (lower back) without the use of contrast dye. It can help diagnose conditions such as herniated discs, spinal stenosis, and fractures.","ct spine lumbar w/o contrast"
1374,"Thoracic Spine MRI with Contrast","This is a medical imaging procedure that uses magnetic resonance imaging (MRI) technology to produce detailed images of the thoracic spine (the portion of the spine that runs from the upper back to the chest area) with the use of a contrast agent. The contrast agent helps to enhance the visibility of certain structures and tissues in the spine.","mri spine thoracic w/ contrast"
1375,"Ultrasound-guided muscle biopsy.","A muscle biopsy is a medical procedure in which a small piece of muscle tissue is removed for examination and testing. It is often used to diagnose muscle diseases or disorders, such as muscular dystrophy or myositis.","us biopsy muscle"
1376,"CT-guided Lumbar Spine Injection","CT-fluoroscopy guided spine injection is a medical procedure that involves using a combination of computed tomography (CT) and fluoroscopy imaging guidance to inject medication directly into the spine for diagnostic and therapeutic purposes.","ct fl guide spine inj"
1377,"Full-body nuclear medicine scan.","Full-body nuclear medicine scan.","nm spect multiple areas 1 day"
1378,"Amphetamine Drug Screening Test.","This is a medical procedure. It refers to a drug screen test that detects the presence of amphetamines in a person's system. The amphet 1 or 2 refers to the specific type of amphetamines being tested for.","drug screen amphet 1 or 2"
1379,"Hip joint resurfacing procedure.","Hip joint resurfacing procedure.","hip liner acetab reflect 20deg 62-62"
1380,"Myosure Tissue Removal Procedure","This is a medical procedure for the removal of uterine polyps or fibroids using a device called MyoSure 501.","device tissue removal myosure 501"
1381,"Meniscal Needle Repair Procedure","Meniscal Needle Repair Procedure","device repair meniscal curved needle 3im"
1382,"Large Needle Bone Marrow Biopsy.","This is a medical procedure called a needle bone marrow biopsy, which involves using an 8-gauge needle to extract a sample of bone marrow for examination. The specific type of needle mentioned (70-3010) may refer to a brand or model of needle used in the procedure.","needle bone marrow biopsy 8ga 70-3010"
1383,"Thin Needle Extraction Procedure","This medical procedure is a type of biopsy called needle aspiration, which uses a 22 gauge slimline needle to collect a sample of tissue or fluid from the body for further analysis.","needle aspiration 22ga expect slimline"
1384,"scalpel serengeti perfect narrow","scalpel serengeti perfect narrow","scalpel serengeti perfect narrow"
1385,"tap quick connect 3.5mm 71173318","tap quick connect 3.5mm 71173318","tap quick connect 3.5mm 71173318"
1386,"Femoral Head Replacement Surgery","Hip head femoral replacement is a surgical procedure in which the head of the femur (thigh bone) is replaced with an artificial implant due to damage or degeneration. The implant is designed to resemble the natural shape of the hip joint and allow for improved mobility and pain relief. The code 34e 108119 is not related to this procedure and appears to be a specific identification code for a particular medical institution or facility.","hip head femoral replacement 34e 108119"
1387,"bar ti for trans connect 498.120","bar ti for trans connect 498.120","bar ti for trans connect 498.120"
1388,"Pulmonary 25G needle aspiration.","This is a medical procedure known as needle aspiration using a 25 gauge needle, specifically for the pulmonary (lung) area. It involves inserting a fine needle into the lung tissue to obtain a small sample of fluid or tissue for diagnostic purposes.","needle aspiration 25ga expect pulmonary"
1389,"Precision Meniscal Repair System","No description.","needle truespan plga meniscal repair system 24deg 228162"
1390,"Ultrasound-guided liver biopsy.","A liver biopsy is a medical procedure in which a small piece of liver tissue is removed for laboratory analysis. It is typically performed to diagnose liver disease and determine the severity of the condition. The biopsy may be performed using a needle inserted through the skin, or during an open surgical procedure.","us biopsy liver"
1391,"CT-guided wrist joint injection","CT arthrography wrist injection is a medical procedure that involves injecting a contrast dye into the wrist joint before a computed tomography (CT) scan is performed to detect any damage or abnormalities in the wrist joint. This procedure may be used to diagnose conditions such as ligament and cartilage tears, fractures, or inflammation.","ct arthrogram wrist injection right"
1392,"Catheter-guided Tissue Sampling","Catheter-guided Tissue Sampling","biopsy transcatheter"
1393,"Complete Contact Cast Placement","Total contact cast application is a medical procedure used in the treatment of diabetic foot ulcers. It involves the application of a specialized cast that distributes pressure evenly across the foot, allowing the ulcer to heal. The cast is worn for several weeks, and is replaced as needed until the ulcer is healed.","*total contact cast application"
1394,"Savi Implant Extraction Surgery","This is a medical procedure that involves the removal of a SAVI (Strut-Adjusted Volume Implant) device from a patient's breast. The SAVI implant is used to deliver radiation therapy to breast tissue after surgery. The removal may be necessary for various reasons such as completion of radiation therapy or due to device-related complications.","savi implant removal"
1395,"Endoluminal Biliary Tree Biopsy","Biopsy(ies) of the biliary tree using an endoluminal procedure. Explanation: This medical procedure involves using an endoscope to examine and take samples (biopsies) from the biliary tree, which includes the liver, gallbladder, and bile ducts. The endoscope is inserted through the mouth or nose and down the throat to reach the digestive system. Once in the biliary tree, small samples of tissue are taken for further testing and analysis. This procedure is often used to diagnose conditions affecting the biliary tree, such as cancer or inflammation.","biopsy(ies) biliary tree endoluminal*"
1396,"Full Spine Scoliosis X-Ray Exam","X-ray imaging of the spine to evaluate and diagnose scoliosis with six or more views taken from different angles.","xr spine scoliosis 6+ views"
1397,"Comprehensive Hydration Therapy","Comprehensive Hydration Therapy","zzct hydration initial"
1398,"Single Lesion Skin Punch Biopsy","The medical procedure is a punch biopsy of a single lesion on the skin. The procedure is identified by the CPT code 11104.","punch biopsy of skin; single lesion (11104)"
1399,"Rubella Antibody Screening Test","Rubella Ab screen is a medical procedure used to detect the presence of antibodies against Rubella virus in the blood. This test is usually done to confirm immunity to Rubella or to diagnose a current or recent infection.","rubella ab screen"
